NAME,SMILES
CHEMBL4776963,CNC(=O)c1csc2c(C(F)(F)F)cc(N3CCC(OC(=O)NCC4CC4)CC3)nc12
CHEMBL1989428,Cn1ccnc1S/C(=C\C=C(C#N)C#N)c1ccc(Cl)cc1
CHEMBL1355138,COc1cc(OC)c(NC(=O)CCc2c(C)nc3ncnn3c2C)cc1Cl
CHEMBL3651093,FC(F)(F)c1ccc(CN[C@H]2CC2c2ccccc2)cc1
CHEMBL5221405,O=C(O)c1cc(-c2ccc(CNCc3cccnc3)o2)ccc1O
CHEMBL38347,COc1cc2c(cc1OC)-c1cc(Nc3c(C)cc(C)cc3C)nc(=O)n1CC2
CHEMBL3960071,CC1(C)CCC(CN2CCN(c3ccc(C(=O)NS(=O)(=O)c4ccc(NCCN5CCCC5=O)c([N+](=O)[O-])c4)c(Oc4ccc5[nH]ccc5c4)c3)CC2)=C(c2ccc(Cl)cc2)C1
CHEMBL1597127,Cc1ccc(CCNC(=O)c2cc3cc4cc(C)ccc4nc3s2)cc1
CHEMBL1519974,COC(=O)C1C(c2ccccc2)C(C(=O)O)C1c1ccccc1
CHEMBL128403,CN(C)CCNC(=O)c1cccc2ccc(-c3ccc(C(F)(F)F)cc3)nc12
CHEMBL4555064,COC(=O)c1ccc(C(=O)N[C@@H](CC(C)C)C(=O)NC(C=O)Cc2ccccc2)[nH]1
CHEMBL4897326,CN(Cc1nc2ccccc2c(=O)[nH]1)C(=O)[C@@H]1CCCCO1
CHEMBL4163520,C/C(=N\NC(N)=S)c1ccc(CC(C)C)cc1
CHEMBL136023,COc1cccc(-c2cc(COc3cccnc3)ccc2C(=O)N[C@@H](CCSC)C(=O)O)c1
CHEMBL175400,N#CSCCCC(=O)O
CHEMBL5021613,CC(C)n1[nH]c(=O)c2c1NC(=O)C[C@H]2C1CCCCC1
CHEMBL1224133,C=C(C)[C@@H]1CC[C@]2(C(=O)O)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CCC(NCCO)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12
CHEMBL4762714,COc1ccc(-c2cnc3cnc(-c4cccc(CO)c4)cn23)cc1
CHEMBL4095705,CC1(C)Oc2cc(Br)ccc2-c2[nH]c(-c3c(Br)cccc3Br)nc21
CHEMBL2322015,C=C(c1ccccc1)[C@H]1OOC2(CCCC2)O[C@@H]1c1ccccc1
CHEMBL3092324,CS(=O)(=O)CCNC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1O[C@H]1CCOC1
CHEMBL1606446,CN(C)S(=O)(=O)c1cc(C(=O)O)c(NC2CCCCC2)cc1Cl
CHEMBL1890264,CC(=O)Nc1ccc(OCc2ccccc2)cc1[N+](=O)[O-]
CHEMBL1089284,CN1CCN(CC(O)Cn2nc(-c3ccc(C(F)(F)F)c(SCCN4CCCCC4)c3)c3c2CCN(S(C)(=O)=O)C3)CC1
CHEMBL5095690,Cn1c(=O)n([C@@H]2O[C@H](COP(=O)(O)CP(=O)(O)O)[C@@H](O)[C@H]2O)cc/c1=N/OCc1ccc(C(=O)NCCN)cc1
CHEMBL5017903,Nc1ccc(Oc2ncnc3nc[nH]c23)cc1
CHEMBL1892512,Nc1n[nH]c(SCC(=O)Nc2ccc(Cl)c(S(=O)(=O)N3CCOCC3)c2)n1
CHEMBL1087918,N#C/C(C(=O)N1NC(=O)C2C3c4ccccc4C(c4ccccc43)C2C1=O)=C1\SCCCN1c1ccccc1
CHEMBL3753771,Cc1cnc(NC(=O)c2ccoc2C)s1
CHEMBL23383,Cc1ccc(C)c(NCc2cnc3nc(N)nc(N)c3c2C)c1
