Name,SMILES
CHEMBL3989756,O.O=[Mg].O=[Mg].O=[Mg].O=[Si]=O.O=[Si]=O.O=[Si]=O.O=[Si]=O
CHEMBL1200572,O=[Mg]
CHEMBL5189499,C/C=C\C=C\[C@@H]1O[C@](O)([C@H](CC)C(=O)NC/C=C/C=C(\C)[C@@H](OC)[C@@H](C)[C@@H]2O[C@H](/C=C/C=C/C=C(\C)C(=O)c3c(O)ccn(C)c3=O)[C@H](O)[C@@H]2O)[C@H](O)[C@H](O)C1(C)C.[MgH2]
CHEMBL2146125,[MgH2]
CHEMBL2447911,Cl[Ca]Cl.Cl[Mg]Cl
CHEMBL3561635,O.O.O.O.O=C1O[Mg]2(OC(=O)c3ccccc3O2)Oc2ccccc21
CHEMBL3580437,O=C1O[Mg]2(OC(=O)c3ccccc3O2)Oc2ccccc21
CHEMBL3990276,O=[Mg].O=[Mg].O=[Mg].O=[Si]=O.O=[Si]=O.O=[Si]=O.O=[Si]=O
